term,condition,dimension,rating
theater audience,5,P,-0.44 (1.30)
family,1,A,0.57 (1.79)
role playing group,1,A,1.07 (1.67)
unknown rock band,1,A,1.99 (1.48)
infant playgroup,1,A,2.06 (1.70)
needy family,1,A,-0.80 (1.86)
terrorist cell,1,A,0.57 (2.36)
cult,1,A,-0.16 (1.98)
estranged family,1,A,-0.79 (1.50)
hung jury,1,A,-1.28 (1.87)
sports team,1,A,2.40 (1.53)
videography team,1,A,0.56 (1.51)
political party,1,A,0.93 (1.96)
firing squad,1,A,2.04 (1.91)
meth lab group,1,A,0.22 (2.36)
prison work team,1,A,0.66 (1.86)
customer service department,1,A,0.33 (2.28)
volunteer group,1,A,1.04 (1.59)
club sports team,1,A,2.24 (1.36)
book club,1,A,-1.90 (1.52)
quilting group,1,A,-2.03 (1.51)
fraternity,1,A,2.76 (1.21)
sex trafficking ring,1,A,0.73 (2.07)
suicide cult,1,A,-0.48 (1.98)
soup kitchen line,1,A,-0.17 (2.09)
angry mob,1,A,2.93 (1.29)
rioting crowd,1,A,3.11 (1.13)
crowd,1,A,1.98 (1.63)
theater audience,1,A,-1.01 (2.19)
family,2,A,0.47 (1.39)
role playing group,2,A,0.60 (1.69)
unknown rock band,2,A,2.15 (1.72)
infant playgroup,2,A,1.67 (2.02)
needy family,2,A,-0.34 (1.57)
terrorist cell,2,A,0.82 (2.10)
cult,2,A,0.17 (1.92)
estranged family,2,A,-1.17 (1.40)
hung jury,2,A,-1.04 (1.73)
sports team,2,A,2.50 (1.51)
videography team,2,A,0.34 (1.71)
political party,2,A,1.17 (1.98)
firing squad,2,A,1.94 (1.89)
meth lab group,2,A,0.49 (1.94)
prison work team,2,A,1.04 (1.85)
customer service department,2,A,0.17 (2.08)
volunteer group,2,A,0.78 (1.72)
club sports team,2,A,2.05 (1.31)
book club,2,A,-1.77 (1.77)
quilting group,2,A,-2.09 (1.60)
fraternity,2,A,2.10 (1.61)
sex trafficking ring,2,A,0.82 (2.02)
suicide cult,2,A,-0.45 (2.10)
soup kitchen line,2,A,0.11 (2.30)
angry mob,2,A,3.26 (1.02)
rioting crowd,2,A,3.29 (1.14)
crowd,2,A,1.99 (1.39)
theater audience,2,A,-1.70 (1.90)
family,3,A,0.68 (1.49)
role playing group,3,A,0.77 (1.68)
unknown rock band,3,A,1.96 (1.46)
infant playgroup,3,A,1.51 (2.34)
needy family,3,A,-0.64 (1.81)
terrorist cell,3,A,0.81 (2.33)
cult,3,A,-0.09 (2.02)
estranged family,3,A,-0.31 (1.66)
hung jury,3,A,-1.27 (1.75)
sports team,3,A,2.38 (1.55)
videography team,3,A,0.10 (1.65)
political party,3,A,1.21 (1.99)
firing squad,3,A,2.41 (1.59)
meth lab group,3,A,1.07 (1.96)
prison work team,3,A,0.36 (1.64)
customer service department,3,A,-0.10 (1.98)
volunteer group,3,A,1.25 (1.81)
club sports team,3,A,2.02 (1.47)
book club,3,A,-1.88 (1.83)
quilting group,3,A,-1.96 (1.45)
fraternity,3,A,2.65 (1.39)
sex trafficking ring,3,A,0.31 (2.13)
suicide cult,3,A,-0.76 (2.38)
soup kitchen line,3,A,0.41 (1.90)
angry mob,3,A,2.96 (1.45)
rioting crowd,3,A,3.12 (1.10)
crowd,3,A,2.70 (1.04)
theater audience,3,A,-1.29 (1.81)
family,4,A,1.03 (1.44)
role playing group,4,A,0.43 (1.55)
unknown rock band,4,A,1.41 (1.79)
infant playgroup,4,A,1.58 (1.94)
needy family,4,A,-1.13 (1.50)
terrorist cell,4,A,1.13 (2.09)
cult,4,A,0.38 (1.86)
estranged family,4,A,-0.86 (1.50)
hung jury,4,A,-0.92 (1.68)
sports team,4,A,2.61 (1.39)
videography team,4,A,0.36 (1.73)
political party,4,A,1.02 (1.79)
firing squad,4,A,1.61 (1.81)
meth lab group,4,A,0.78 (2.33)
prison work team,4,A,0.64 (1.78)
customer service department,4,A,0.21 (1.97)
volunteer group,4,A,0.59 (1.76)
club sports team,4,A,2.36 (1.19)
book club,4,A,-1.92 (1.50)
quilting group,4,A,-1.85 (1.54)
fraternity,4,A,2.41 (1.41)
sex trafficking ring,4,A,0.69 (2.18)
suicide cult,4,A,-0.74 (1.92)
soup kitchen line,4,A,0.39 (1.93)
angry mob,4,A,3.01 (1.36)
rioting crowd,4,A,3.28 (1.13)
crowd,4,A,1.83 (1.76)
theater audience,4,A,-1.66 (1.75)
family,5,A,0.66 (1.26)
role playing group,5,A,0.55 (1.42)
unknown rock band,5,A,1.89 (1.60)
infant playgroup,5,A,1.78 (2.23)
needy family,5,A,-0.52 (1.87)
terrorist cell,5,A,1.02 (2.11)
cult,5,A,0.02 (1.91)
estranged family,5,A,-0.24 (1.67)
hung jury,5,A,-0.85 (1.71)
sports team,5,A,2.33 (1.49)
videography team,5,A,0.45 (1.68)
political party,5,A,0.77 (2.05)
firing squad,5,A,2.16 (1.43)
meth lab group,5,A,0.76 (1.88)
prison work team,5,A,0.95 (1.53)
customer service department,5,A,0.34 (1.61)
volunteer group,5,A,0.82 (1.29)
club sports team,5,A,2.18 (1.66)
book club,5,A,-1.70 (1.61)
quilting group,5,A,-1.68 (1.70)
fraternity,5,A,2.26 (1.59)
sex trafficking ring,5,A,0.84 (2.09)
suicide cult,5,A,0.12 (2.29)
soup kitchen line,5,A,0.33 (1.82)
angry mob,5,A,2.73 (1.85)
rioting crowd,5,A,3.07 (1.43)
crowd,5,A,2.13 (1.50)
theater audience,5,A,-1.18 (2.19)
