,index,Original_term,term,component,n,E,P,A,E_std,P_std,A_std
873,874,convalescent,convalescent,identity,5,1,-0.28,-0.89,0.18,0.18,0.19
874,875,conventional,conventional,modifier,9,0.54,-0.1,-0.81,0.21,0.18,0.15
875,876,converse_with,converses with,behavior,12,2.2,1.63,0.82,0.18,0.08,0.09
876,877,convert,converts,behavior,10,0.39,1.85,-0.16,0.22,0.08,0.09
877,878,convey_something_to,conveys something to,behavior,1,2.09,1.83,0.07,0.17,0.08,0.09
878,879,convict,convicts,behavior,18,-0.16,2,0.52,0.19,0.09,0.09
879,880,convict,convict,identity,13,-2.01,-1.19,0.3,0.2,0.16,0.11
880,881,convince,convinces,behavior,13,1.84,2.28,0.64,0.18,0.09,0.08
881,882,cook,cook,identity,13,2.01,0.61,0.89,0.15,0.12,0.1
882,883,cook_something_with,cooks something with,behavior,1,1.94,1.87,1.23,0.23,0.09,0.1
883,884,cooking_for_someone,cooks for,behavior,1,1.61,1.77,0.85,0.21,0.1,0.1
884,885,cool,cool,modifier,8,1.63,1.48,0.62,0.21,0.14,0.14
885,886,cooperate_with,cooperates with,behavior,9,2.28,1.72,0.04,0.18,0.08,0.11
886,887,cooperative,cooperative,modifier,15,2.53,1.62,-0.44,0.21,0.13,0.13
887,888,cop,cop,identity,17,1.01,2.5,1.09,0.15,0.19,0.1
888,889,copper,copper,identity,3,0.08,-0.31,0.25,0.24,0.17,0.1
889,890,copycat,copycat,identity,12,-1.98,-1.39,0.2,0.2,0.17,0.11
890,891,coquettish,coquettish,modifier,1,0.58,0.41,0.15,0.24,0.15,0.13
891,892,corner,corners,behavior,10,-1.66,1.63,0.82,0.26,0.1,0.12
892,893,coroner,coroner,identity,11,0.59,0.57,-0.93,0.17,0.18,0.14
893,894,corporate_director,corporate director,identity,1,0.9,2.14,1.17,0.14,0.12,0.15
894,895,corporate_person,corporate person,identity,1,0.51,1.26,1.03,0.14,0.2,0.13
895,896,correct,corrects,behavior,18,0.58,1.07,0.85,0.18,0.08,0.08
896,897,correspond_with,corresponds with,behavior,1,2.45,1.53,-0.18,0.19,0.09,0.11
897,898,corrupt,corrupts,behavior,12,-2.19,1.81,-0.16,0.27,0.09,0.13
898,899,corruptible,corruptible,modifier,1,-2.48,-0.27,-0.29,0.3,0.16,0.16
899,900,cosmetologist,cosmetologist,identity,6,1.34,0.43,0.55,0.13,0.11,0.12
900,901,councillor,councillor,identity,1,0.93,1.2,-0.36,0.12,0.15,0.12
901,902,councilor,councilor,identity,1,0.83,1.95,-0.03,0.13,0.15,0.16
902,903,counsel,counsels,behavior,18,2.66,2.25,-0.81,0.22,0.1,0.13
903,904,counselor,counselor,identity,13,2.34,1.6,-0.71,0.14,0.12,0.13
904,905,count,count,identity,1,0.52,1.28,-0.61,0.15,0.18,0.13
905,906,countess,countess,identity,1,0.62,0.38,0.27,0.14,0.19,0.12
906,907,county_clerk,county clerk,identity,1,1,0.35,0.37,0.15,0.19,0.12
907,908,county_warden,county warden,identity,1,0.3,1.73,1,0.18,0.19,0.19
908,909,coup_detat,coups detat,behavior,1,-1.26,1.41,1.59,0.19,0.08,0.1
909,910,courageous,courageous,modifier,13,2.51,2.71,1.46,0.27,0.18,0.16
910,911,court,courts,behavior,14,1.88,1.6,-0.32,0.22,0.09,0.12
911,912,courteous,courteous,modifier,7,3.07,2.41,-0.23,0.23,0.14,0.13
912,913,courtesan,courtesan,identity,5,0.67,0.2,0.21,0.13,0.11,0.09
913,914,cousin,cousin,identity,12,1.37,0.32,0.72,0.13,0.12,0.09
914,915,cousin_female,cousin female,identity,1,1.44,0.28,0.59,0.17,0.12,0.13
915,916,cousin_male,cousin male,identity,1,1.2,0.49,0.64,0.22,0.14,0.1
916,917,cousin_maternal,cousin maternal,identity,1,1.55,0.44,0.57,0.13,0.13,0.1
917,918,cousin_paternal,cousin paternal,identity,1,1.59,0.6,0.41,0.17,0.19,0.11
918,919,cousin_second_female,cousin second female,identity,1,1.54,0.39,0.57,0.15,0.11,0.1
919,920,cousin_second_male,cousin second male,identity,1,1.3,0.61,0.59,0.14,0.11,0.1
920,921,cousin1,cousin1,identity,2,1.15,0.56,0.5,0.19,0.13,0.09
921,922,cousin2,cousin2,identity,2,1.02,0.47,0.42,0.21,0.12,0.08
922,923,cousin3,cousin3,identity,2,1.03,0.26,0.4,0.2,0.12,0.11
923,924,cousin4,cousin4,identity,2,1.04,0.33,0.46,0.2,0.13,0.08
924,925,cousin5,cousin5,identity,2,0.73,0.43,0.42,0.36,0.12,0.11
925,926,cousin6,cousin6,identity,2,0.53,0.45,0.26,0.3,0.14,0.09
926,927,cousin7,cousin7,identity,2,0.62,0.47,0.49,0.28,0.12,0.1
927,928,cousin8,cousin8,identity,2,0.57,0.45,0.35,0.34,0.11,0.08
928,929,cover,covers,behavior,1,0.53,1.63,0.01,0.23,0.09,0.13
929,930,covet,covets,behavior,2,-0.19,0.65,-0.39,0.19,0.08,0.11
930,931,covetous,covetous,modifier,1,-1.45,-0.18,-0.12,0.25,0.15,0.14
931,932,coward,coward,identity,14,-1.96,-2.56,-1.3,0.22,0.28,0.21
932,933,cowardly,cowardly,modifier,17,-2.34,-2.44,-1.46,0.23,0.23,0.15
933,934,coworker,coworker,identity,1,0.65,0.19,0.5,0.14,0.18,0.1
934,935,coy,coy,modifier,10,0.67,0.47,-0.05,0.26,0.15,0.11
935,936,cpa,cpa,identity,8,0.95,1.44,-0.57,0.11,0.12,0.12
936,937,crab,crab,identity,3,-0.51,-1.55,-1.22,0.17,0.22,0.16
937,938,cracker,cracker,identity,1,-1.6,-1.31,0.73,0.19,0.2,0.12
938,939,crackhead,crackhead,identity,1,-2.02,-1.17,1.08,0.2,0.17,0.13
939,940,crackpot,crackpot,identity,3,-1.8,-0.99,0.97,0.2,0.16,0.12
940,941,craftsman,craftsman,identity,8,1.52,0.92,-0.3,0.14,0.14,0.11
941,942,crafty,crafty,modifier,9,1.83,1.58,0.14,0.22,0.13,0.13
942,943,crane_operator,crane operator,identity,8,1.05,1.06,0.36,0.18,0.12,0.1
943,944,crank,crank,identity,4,-2.05,-0.91,0.78,0.26,0.18,0.16
944,945,crazy,crazy,modifier,11,-0.68,-0.06,2.07,0.22,0.17,0.17
945,946,creating_private_militia,creates private militia,behavior,1,0.46,2.13,0.68,0.25,0.11,0.09
946,947,creative,creative,modifier,10,2.77,2.27,0.8,0.22,0.13,0.12
947,948,credible,credible,modifier,7,3.2,2.86,-0.12,0.26,0.17,0.14
948,949,creditor,creditor,identity,8,-0.49,1.47,0.45,0.15,0.12,0.09
949,950,credulous,credulous,modifier,1,-0.12,0.06,0.31,0.25,0.18,0.12
950,951,criminal,criminal,identity,19,-2.52,-0.3,0.57,0.24,0.15,0.1
951,952,cripple,cripples,behavior,7,-2.91,1.48,0.84,0.29,0.09,0.1
952,953,cripple,cripple,identity,16,-1.77,-0.44,-0.64,0.21,0.18,0.14
953,954,crippled_person,crippled person,identity,5,-0.34,-1.24,-1.27,0.16,0.22,0.18
954,955,crises_paralysed,crises paralysed,modifier,1,-2.01,-1.07,-0.85,0.2,0.17,0.23
955,956,crises_performing,crises performing,modifier,1,-0.49,0.45,1.17,0.86,0.44,0.16
956,957,critic,critic,identity,18,0.19,1.12,0.55,0.17,0.1,0.15
957,958,critical,critical,modifier,10,0.21,1.34,0.99,0.25,0.14,0.13
958,959,criticize,criticizes,behavior,20,-1.11,0.78,1.17,0.18,0.07,0.1
959,960,croatian,croatian,identity,1,0.19,0.09,0.54,0.14,0.16,0.1
960,961,crone,crone,identity,5,0.47,0.57,-0.52,0.15,0.15,0.11
961,962,crony,crony,identity,1,-0.73,0.02,0.09,0.18,0.16,0.09
962,963,crook,crook,identity,16,-2.14,0.1,0.16,0.27,0.14,0.14
963,964,cross_examine,cross examines,behavior,15,0.2,1.37,0.51,0.22,0.09,0.14
964,965,cross_examine_interrogate,cross examines interrogate,behavior,2,0.05,1.4,0.64,0.17,0.08,0.12
965,966,crossing_ones_fingers,crosses ones fingers,behavior,1,-0.09,0.98,0.21,0.19,0.08,0.1
966,967,crosspost,crossposts,behavior,1,-0.22,1.3,0.71,0.19,0.08,0.09
967,968,crouching,crouchings,behavior,1,-0.52,0.35,-0.32,0.16,0.08,0.11
968,969,crown_attorney,crown attorney,identity,1,0.8,2.05,0.69,0.14,0.14,0.12
969,970,crude,crude,modifier,9,-2,-0.22,1.11,0.23,0.15,0.13
970,971,cruel,cruel,modifier,17,-3.27,0.51,0.42,0.28,0.15,0.14
971,972,crushed,crushed,modifier,13,-2.82,-0.5,-1.09,0.23,0.14,0.15
972,973,cry_for,cries for,behavior,7,0.49,0.75,0.03,0.17,0.08,0.12
973,974,crybaby,crybaby,identity,14,-2.07,-1.64,1.75,0.23,0.23,0.17
974,975,cuban,cuban,identity,1,0.22,0.11,0.85,0.15,0.17,0.09
975,976,cuddle,cuddles,behavior,15,1.89,0.85,-0.83,0.22,0.11,0.15
976,977,cue,cues,behavior,12,1.45,1.46,0.1,0.19,0.08,0.1
977,978,culprit,culprit,identity,12,-2.2,-0.41,0.58,0.22,0.16,0.09
978,979,cult_member,cult member,identity,1,-0.21,0.41,0.89,0.2,0.11,0.1
979,980,cultivated,cultivated,modifier,7,2.4,1.79,-0.36,0.21,0.16,0.13
980,981,cumann_ban_member,cumann ban member,identity,1,-0.43,0.39,0.13,0.19,0.2,0.12
981,982,cunning,cunning,modifier,8,0.85,1.78,0.12,0.25,0.15,0.12
982,983,cure,cures,behavior,11,2.1,2.5,-0.32,0.23,0.12,0.13
983,984,curious,curious,modifier,12,2.4,1.65,0.49,0.2,0.13,0.13
984,985,curious_person,curious person,identity,1,0.99,0.57,0.08,0.15,0.15,0.1
985,986,curry_favor_from,curries favor from,behavior,12,0.45,0.29,0.3,0.18,0.09,0.1
986,987,curse,curses,behavior,18,-2.24,0.35,1.32,0.21,0.09,0.1
987,988,curse_damn,curses damn,behavior,2,-2.43,0.16,1.43,0.22,0.08,0.1
988,989,cursed_person,cursed person,identity,1,-1.53,0.04,-0.48,0.3,0.17,0.15
989,990,curtsey_to,curtsies to,behavior,7,1.69,0.33,-0.8,0.22,0.13,0.13
990,991,cuss,cusses,behavior,6,-1.39,0.5,1.08,0.2,0.08,0.09
991,992,custodian,custodian,identity,7,1.4,-0.83,-0.88,0.16,0.16,0.13
992,993,customer,customer,identity,18,1.31,1.08,0.74,0.14,0.16,0.09
993,994,customer_support_representative,customer support representative,identity,1,1.68,1.38,0.72,0.16,0.13,0.12
994,995,customer_systems_analyst,customer systems analyst,identity,6,0.89,0.35,-0.6,0.12,0.1,0.12
995,996,customs_officer,customs officer,identity,9,0.46,1.29,0.07,0.13,0.14,0.12
996,997,cut,cuts,behavior,5,-2.69,1.63,0.58,0.29,0.09,0.13
997,998,cute,cute,modifier,7,2.27,1.19,0.2,0.22,0.15,0.12
998,999,cutthroat,cutthroat,identity,12,-1.91,1.09,0.75,0.21,0.15,0.12
999,1000,cyberpunk,cyberpunk,identity,1,-0.77,-0.02,0.68,0.15,0.12,0.1
1000,1001,cybersex,cybersexes,behavior,1,-1.14,0.99,0.52,0.2,0.07,0.11
1001,1002,cyborg_mythical,cyborg mythical,identity,1,-0.17,-0.17,0.08,0.21,0.21,0.12
1002,1003,cynic,cynic,identity,14,-1.37,-0.6,0.18,0.17,0.13,0.12
1003,1004,cynical,cynical,modifier,16,-1.63,-0.36,-0.15,0.22,0.13,0.12
1004,1005,czech,czech,identity,2,0.54,0.19,0.42,0.12,0.14,0.09
1005,1006,d.j._disc_jockey,d.j. disc jockey,identity,1,0.73,0.69,0.76,0.34,0.55,0.53
1006,1007,dairy_farmer,dairy farmer,identity,7,1.67,-0.14,-0.39,0.14,0.13,0.1
1007,1008,dairy_products_worker,dairy products worker,identity,1,1.02,-0.52,0.18,0.13,0.12,0.08
1008,1009,dame,dame,identity,3,1.36,1.16,0.88,0.17,0.19,0.11
1009,1010,damn,damns,behavior,13,-2.48,0.86,1.11,0.24,0.08,0.09
1010,1011,dance_with,dances with,behavior,19,2.59,1.45,0.96,0.22,0.08,0.09
1011,1012,dandy,dandy,identity,3,-0.18,-0.68,0.57,0.17,0.15,0.12
1012,1013,dane,dane,identity,2,1.09,0.5,-0.04,0.14,0.17,0.13
1013,1014,dare,dares,behavior,11,-0.22,1,1.16,0.17,0.08,0.09
1014,1015,daredevil,daredevil,identity,9,0.5,1.56,2.79,0.17,0.14,0.19
1015,1016,daring,daring,modifier,15,1.36,1.97,1.98,0.22,0.14,0.15
1016,1017,darling,darling,identity,3,1.86,0.24,0.96,0.18,0.28,0.11
1017,1018,date,dates,behavior,6,2.03,1.64,0.61,0.2,0.08,0.1
1018,1019,date,date,identity,6,1.72,0.9,0.75,0.16,0.27,0.12
1019,1020,daughter,daughter,identity,18,1.97,1.03,1.04,0.14,0.14,0.09
1020,1021,daughter_dutiful,daughter dutiful,identity,1,2.02,0.89,0.98,0.14,0.2,0.1
1021,1022,daughter_in_law,daughter in law,identity,16,1.1,0.09,0.2,0.12,0.13,0.08
1022,1023,dazzle,dazzles,behavior,10,2.29,2.11,1.46,0.22,0.09,0.1
1023,1024,deacon,deacon,identity,1,1.42,1.44,-0.19,0.13,0.13,0.12
1024,1025,deadbeat,deadbeat,identity,10,-3.34,-1.16,-0.79,0.29,0.21,0.16
1025,1026,deadbeat_dad,deadbeat dad,identity,10,-3.24,-1.27,-0.94,0.29,0.18,0.17
1026,1027,deadhead,deadhead,identity,3,-2.55,-1.02,-0.69,0.21,0.16,0.16
1027,1028,deaf_person,deaf person,identity,2,0.22,-0.97,-0.96,0.15,0.2,0.13
1028,1029,deafen,deafens,behavior,7,-2,1.07,1.55,0.19,0.07,0.1
1029,1030,dean,dean,identity,1,1.28,2.14,-0.16,0.15,0.15,0.12
1030,1031,death_defying,death defying,modifier,1,-2.63,0.07,-0.12,0.32,0.12,0.16
1031,1032,debase,debases,behavior,7,-1.03,0.54,0.01,0.22,0.08,0.1
1032,1033,debate_with,debates with,behavior,18,1.21,1.66,1.8,0.18,0.08,0.11
1033,1034,debater,debater,identity,1,0.24,0.93,0.98,0.17,0.15,0.18
1034,1035,debrief,debriefs,behavior,9,0.37,1.47,0.73,0.18,0.07,0.09
1035,1036,debtor,debtor,identity,3,-1.07,0.45,-0.22,0.18,0.18,0.15
1036,1037,deceitful,deceitful,modifier,10,-2.54,0.3,-0.26,0.23,0.13,0.12
1037,1038,deceive,deceives,behavior,12,-2.31,0.54,-0.34,0.21,0.08,0.12
1038,1039,decent,decent,modifier,7,2.97,2.27,-0.53,0.23,0.16,0.14
1039,1040,decisive,decisive,modifier,7,2.14,2.62,1.18,0.24,0.15,0.14
1040,1041,deckhand,deckhand,identity,1,0.73,0.42,0.57,0.16,0.12,0.08
1041,1042,decorate,decorates,behavior,7,1.17,1.13,0.5,0.19,0.08,0.1
1042,1043,decorator,decorator,identity,11,1.59,0.65,0.8,0.13,0.13,0.1
1043,1044,decoy,decoy,identity,3,-0.59,-0.89,0.03,0.19,0.16,0.1
1044,1045,deeply_sad,deeply sad,modifier,1,-1.4,-0.16,-1.5,0.2,0.18,0.22
1045,1046,defame,defames,behavior,7,-1.61,0.78,0.7,0.19,0.07,0.09
1046,1047,defeat,defeats,behavior,14,0.83,2.36,1.18,0.22,0.1,0.1
1047,1048,defend,defends,behavior,16,2.67,2.78,1.33,0.25,0.13,0.11
1048,1049,defendant,defendant,identity,20,0.09,-0.51,-0.2,0.17,0.17,0.1
1049,1050,defense_attorney,defense attorney,identity,10,0.93,2,1.4,0.13,0.16,0.1
1050,1051,defenseman_hockey,defenseman hockey,identity,1,0.91,1.35,1.69,0.14,0.14,0.15
1051,1052,defensive,defensive,modifier,16,-0.25,0.33,0.87,0.21,0.16,0.12
1052,1053,defer_to,defers to,behavior,9,-0.04,0.59,-0.4,0.16,0.08,0.11
1053,1054,defiant,defiant,modifier,13,-0.66,0.99,1.39,0.22,0.12,0.13
1054,1055,defile,defiles,behavior,12,-1.87,0.75,0.53,0.2,0.08,0.1
1055,1056,deflate,deflates,behavior,11,-1.83,1.12,0.42,0.19,0.07,0.1
1056,1057,deflated,deflated,modifier,13,-2.17,-1.56,-1.67,0.21,0.16,0.15
1057,1058,defy,defies,behavior,18,-0.69,0.78,0.6,0.16,0.07,0.1
1058,1059,degenerate,degenerate,identity,11,-1.71,-1.11,-0.28,0.24,0.16,0.15
1059,1060,degrade,degrades,behavior,11,-1.94,0.71,0.54,0.19,0.08,0.1
1060,1061,dejected,dejected,modifier,13,-2.26,-0.66,-1.4,0.22,0.14,0.16
1061,1062,dejected_depressed_glum,dejected depressed glum,modifier,2,-2.37,-1.34,-2.13,0.24,0.23,0.26
1062,1063,delay,delaies,behavior,14,-0.75,0.8,0.19,0.19,0.08,0.09
1063,1064,delay_payment_to,delays payment to,behavior,8,-1.91,0.25,-0.93,0.21,0.1,0.16
1064,1065,delegate,delegate,identity,1,0.99,1.26,0.27,0.13,0.14,0.12
1065,1066,delicate,delicate,modifier,10,0.67,-0.47,-1.92,0.23,0.18,0.17
1066,1067,delight,delights,behavior,14,2.59,1.96,0.86,0.24,0.1,0.1
1067,1068,delighted,delighted,modifier,18,3.26,2.61,1.32,0.28,0.16,0.14
1068,1069,delinquent,delinquent,identity,17,-1.35,-1.57,-0.14,0.21,0.2,0.15
1069,1070,delinquent_juvenile,delinquent juvenile,identity,1,-0.39,-1.44,1.28,0.25,0.22,0.18
1070,1071,delinquent_school,delinquent school,identity,1,1.6,1.25,1.26,0.27,0.28,0.14
1071,1072,delude,deludes,behavior,11,-1.92,0.59,0.24,0.22,0.1,0.13
1072,1073,demagogue,demagogue,identity,5,-0.86,-0.21,-0.61,0.18,0.15,0.18
1073,1074,demand,demands,behavior,8,-1.04,1.53,1.54,0.2,0.08,0.11
1074,1075,demand_from,demands from,behavior,1,-1.22,0.81,0.81,0.18,0.09,0.1
1075,1076,demand_performance_from,demands performance from,behavior,1,-0.96,1.35,1.14,0.19,0.07,0.1
1076,1077,demanding,demanding,modifier,11,-1.11,1.06,1.96,0.29,0.14,0.16
1077,1078,demean,demeans,behavior,14,-2.58,0.62,0.99,0.2,0.07,0.08
1078,1079,democrat,democrat,identity,1,0.54,0.64,0.19,0.12,0.15,0.1
1079,1080,democratic,democratic,modifier,1,2.35,2.17,0.22,0.2,0.14,0.12
1080,1081,demon,demon,identity,2,-2.59,0.6,0.33,0.26,0.18,0.13
1081,1082,demonstrator,demonstrator,identity,1,-0.12,0.98,0.46,0.25,0.13,0.12
1082,1083,demoralize,demoralizes,behavior,10,-1.31,1.18,0.5,0.21,0.08,0.09
1083,1084,demote,demotes,behavior,11,-2.3,1.07,0.54,0.24,0.08,0.12
1084,1085,demure,demure,modifier,7,0.5,-0.12,-1.05,0.18,0.15,0.14
1085,1086,denigrate,denigrates,behavior,12,-1.78,0.66,0.67,0.17,0.07,0.09
1086,1087,denounce,denounces,behavior,18,-0.75,0.9,0.73,0.18,0.06,0.09
1087,1088,dental_assistant,dental assistant,identity,12,1.56,0.14,-0.39,0.13,0.11,0.09
1088,1089,dental_hygienist,dental hygienist,identity,10,0.63,0.33,-0.38,0.17,0.11,0.09
1089,1090,dental_practitioner,dental practitioner,identity,1,1.68,1.15,-0.33,0.12,0.11,0.11
1090,1091,dental_technician,dental technician,identity,1,1.62,0.75,-0.1,0.12,0.11,0.09
1091,1092,dentist,dentist,identity,15,1.61,1.47,0.04,0.13,0.12,0.11
1092,1093,deny,denies,behavior,7,-0.48,1.49,-0.02,0.18,0.08,0.1
1093,1094,deny_something_to,denies something to,behavior,6,-0.92,0.85,-0.53,0.18,0.07,0.12
1094,1095,denying_accusations,denies accusations,behavior,1,-0.57,1.21,0.22,0.17,0.07,0.1
1095,1096,denying_support,denies support,behavior,1,-0.65,1.37,-0.17,0.24,0.08,0.13
1096,1097,department_head,department head,identity,2,1.18,1.26,0.71,0.14,0.2,0.12
1097,1098,depend_rely_on,relies on,behavior,2,0.72,0.84,-0.79,0.19,0.08,0.12
1098,1099,dependable,dependable,modifier,16,3.3,2.74,0.06,0.25,0.16,0.12
1099,1100,dependent,dependent,modifier,16,-1.51,-1.64,-0.98,0.17,0.17,0.15
1100,1101,deport,deports,behavior,7,-1.31,1.25,0.5,0.21,0.08,0.09
1101,1102,deprave,depraves,behavior,9,-1.9,0.77,-0.09,0.22,0.08,0.1
1102,1103,deprave,deprave,modifier,3,-2.13,-0.14,-0.14,0.22,0.12,0.11
1103,1104,deprecate,deprecates,behavior,14,-1.93,0.34,0.54,0.18,0.08,0.1
1104,1105,depress,depresses,behavior,8,-2.07,1.02,0.41,0.2,0.07,0.09
1105,1106,depressed,depressed,modifier,15,-2.88,-1.85,-2.59,0.24,0.19,0.25
1106,1107,deprive,deprives,behavior,10,-1.89,1.33,-0.45,0.23,0.08,0.12
1107,1108,deputy,deputy,identity,9,1.14,1.86,0.84,0.13,0.16,0.1
1108,1109,deride,derides,behavior,12,-1.4,0.21,0.77,0.16,0.09,0.09
1109,1110,dermatologist,dermatologist,identity,2,0.98,1.04,-0.84,0.15,0.15,0.13
1110,1111,desert,deserts,behavior,11,-2.31,0.56,-0.21,0.21,0.09,0.12
1111,1112,designer,designer,identity,2,1.29,1.47,0.36,0.14,0.13,0.12
1112,1113,desire,desires,behavior,10,1.38,1.5,1.02,0.18,0.07,0.09
1113,1114,desire_sexually,desires sexually,behavior,16,1.48,1.53,1.21,0.18,0.08,0.09
1114,1115,desire_someone_sexually,desires someone sexually,behavior,1,1.49,1.62,1.11,0.2,0.08,0.09
1115,1116,desperado,desperado,identity,6,-0.93,0.37,0.92,0.16,0.19,0.1
1116,1117,desperate,desperate,modifier,9,-2.71,-1.55,-0.5,0.2,0.16,0.14
1117,1118,despise,despises,behavior,13,-1.72,0.41,0.13,0.18,0.07,0.08
1118,1119,despondent,despondent,modifier,12,-1.87,-1.39,-1.76,0.17,0.15,0.14
1119,1120,destroy,destroys,behavior,8,-3.01,2.13,1.64,0.38,0.13,0.12
1120,1121,detached,detached,modifier,2,-0.08,0.21,-1.49,0.19,0.14,0.13
1121,1122,detain,detains,behavior,10,-0.47,1.8,0.29,0.18,0.08,0.1
1122,1123,detective,detective,identity,19,1.65,1.82,-0.82,0.14,0.17,0.14
1123,1124,deter,deters,behavior,13,-0.72,1.11,0.18,0.17,0.08,0.09
1124,1125,determined,determined,modifier,8,2.76,2.88,0.69,0.21,0.17,0.14
1125,1126,detest,detests,behavior,11,-1.7,0.76,0.11,0.18,0.07,0.09
1126,1127,devil,devil,identity,18,-3.2,1.35,0.92,0.33,0.2,0.12
1127,1128,devil_worshiper,devil worshiper,identity,3,-2.6,0.6,0.12,0.26,0.15,0.11
1128,1129,devoted,devoted,modifier,7,2.72,2.32,-0.26,0.2,0.14,0.12
1129,1130,devoted_husband,devoted husband,identity,1,2.52,2.26,0.69,0.19,0.16,0.09
1130,1131,devout_person,devout person,identity,1,1.03,0.67,-0.08,0.13,0.14,0.15
1131,1132,diagnose,diagnoses,behavior,8,1.23,1.98,-0.55,0.17,0.09,0.11
1132,1133,diapering_ababy,diapers a baby,behavior,1,0.62,0.9,-0.09,0.17,0.09,0.12
1133,1134,dicker_with,dickers with,behavior,11,-0.75,0.49,1.51,0.18,0.09,0.11
1134,1135,dictator,dictator,identity,2,-0.65,2.52,1.35,0.22,0.19,0.11
1135,1136,diddle,diddles,behavior,7,-1.07,0.39,0.84,0.23,0.09,0.1
1136,1137,dietitian,dietitian,identity,10,1,0.13,-0.02,0.15,0.21,0.1
1137,1138,diffident,diffident,modifier,7,-0.97,-0.27,-0.98,0.2,0.13,0.13
1138,1139,dignified,dignified,modifier,11,2.65,2.34,-0.39,0.22,0.14,0.13
1139,1140,dignitary,dignitary,identity,2,0.59,1.16,0.11,0.15,0.14,0.11
1140,1141,dike,dike,identity,3,-0.95,-0.4,0.03,0.21,0.2,0.13
1141,1142,diligent,diligent,modifier,7,1.31,1.15,-0.68,0.25,0.17,0.16
1142,1143,dimwit,dimwit,identity,10,-1.29,-1.98,-1.31,0.17,0.22,0.17
1143,1144,dine_with,dines with,behavior,10,2.32,1.26,0.18,0.2,0.08,0.09
1144,1145,diner,diner,identity,11,1.2,-0.34,1.53,0.14,0.19,0.12
1145,1146,diplomat,diplomat,identity,9,1.23,2.03,0.89,0.13,0.12,0.08
1146,1147,direct,directs,behavior,16,1.36,2.05,0.91,0.2,0.09,0.1
1147,1148,direct,direct,modifier,1,1.84,1.91,-0.07,0.24,0.15,0.14
1148,1149,director,director,identity,3,1.21,2.31,0.61,0.14,0.15,0.16
1149,1150,dirty,dirty,modifier,7,-1.49,-0.49,0.28,0.25,0.15,0.13
1150,1151,disable,disables,behavior,10,-2.13,0.72,0.68,0.19,0.08,0.08
1151,1152,disabled,disabled,modifier,7,-1.29,-1.23,-1.54,0.22,0.18,0.17
1152,1153,disabled_person,disabled person,identity,11,0.19,-1.12,-1.15,0.14,0.17,0.15
1153,1154,disadvantaged_person,disadvantaged person,identity,1,0.15,-0.88,-0.36,0.15,0.24,0.13
1154,1155,disagree_with,disagrees with,behavior,19,0.1,1.23,1.07,0.19,0.07,0.09
1155,1156,disagreeable,disagreeable,modifier,12,-1.19,-0.32,0.32,0.26,0.15,0.14
1156,1157,disappoint,disappoints,behavior,12,-2.22,0.03,-1.01,0.24,0.12,0.18
1157,1158,disappointed,disappointed,modifier,17,-2.46,-0.98,-1.36,0.23,0.16,0.14
1158,1159,disapprove_of,disapproves of,behavior,7,-0.62,1.13,-0.14,0.19,0.06,0.09
1159,1160,disapproving,disapproving,modifier,7,-1.55,0.45,0.08,0.21,0.13,0.11
1160,1161,disbelieve,disbelieves,behavior,11,-0.36,0.88,-0.39,0.16,0.08,0.12
1161,1162,discharge,discharges,behavior,7,-0.35,1.58,0.15,0.2,0.08,0.11
1162,1163,disciple,disciple,identity,1,1.26,0.07,-0.65,0.15,0.14,0.13
1163,1164,disciplinarian,disciplinarian,identity,18,-0.29,1.62,0.98,0.24,0.16,0.11
1164,1165,discipline,disciplines,behavior,19,0.9,1.94,0.98,0.2,0.1,0.11
1165,1166,discomfort,discomforts,behavior,7,-1.14,0.52,-0.14,0.16,0.08,0.11
1166,1167,discomforted,discomforted,modifier,1,-1.57,-0.67,-1.08,0.21,0.13,0.13
1167,1168,disconcert,disconcerts,behavior,11,-1.27,0.64,0.04,0.17,0.07,0.11
1168,1169,disconcerted,disconcerted,modifier,7,-1.48,-0.63,-0.26,0.19,0.14,0.11
1169,1170,discontented,discontented,modifier,17,-1.93,-0.54,-1,0.19,0.14,0.13
1170,1171,discourage,discourages,behavior,19,-2.21,0.17,0.08,0.19,0.09,0.11
1171,1172,discouraged,discouraged,modifier,9,-2.43,-1.49,-1.83,0.2,0.18,0.17
1172,1173,discouraged_disheartened,discouraged disheartened,modifier,2,-2.64,-1.56,-2.05,0.22,0.18,0.18
1173,1174,discoverer,discoverer,identity,2,0.95,1.65,-0.07,0.15,0.15,0.18
1174,1175,discredit,discredits,behavior,12,-1.46,1.3,0.56,0.19,0.07,0.09
1175,1176,discreditable,discreditable,modifier,1,-1.24,-0.11,-0.82,0.29,0.17,0.15
1176,1177,discreet,discreet,modifier,10,2.26,1.48,-1.55,0.2,0.15,0.16
1177,1178,discriminate_against,discriminates against,behavior,12,-1.51,1.04,0.5,0.19,0.07,0.1
1178,1179,discuss_something_with,discusses something with,behavior,12,1.94,1.37,0.21,0.16,0.08,0.09
1179,1180,discuss_technically_with,discusses technically with,behavior,1,2.15,1.38,0.46,0.2,0.08,0.1
1180,1181,disease_carrier,disease carrier,identity,2,0.02,0.12,-0.25,0.28,0.18,0.13
1181,1182,disenchant,disenchants,behavior,11,-1.1,0.52,-0.03,0.16,0.07,0.09
